,Excretory_cells,Somatic_gonad_precursors,Body_wall_muscle,Am/PH_sheath_cells,Non-seam_hypodermis,Germline,Cholinergic_neurons,GABAergic_neurons,Pharyngeal_epithelia,Touch_receptor_neurons,Intestinal/rectal_muscle,Canal_associated_neurons,Intestine,Seam_cells,Rectum,Other_interneurons,Pharyngeal_neurons,Ciliated_sensory_neurons,Oxygen_sensory_neurons,Pharyngeal_gland,Pharyngeal_muscle,Coelomocytes
Excretory_cells,0.5021459227467812,0.4785992217898833,0.5092250922509225,0.4949290060851927,0.5340501792114696,0.2962962962962963,0.5753424657534246,0.5092936802973977,0.5451197053406999,0.47560975609756095,0.5259259259259259,0.5060728744939271,0.483271375464684,0.5405405405405406,0.50390625,0.5043782837127846,0.5370370370370371,0.5641952983725136,0.531496062992126,0.4611872146118721,0.4970414201183432,0.516
Somatic_gonad_precursors,0.4785992217898833,0.5231316725978647,0.5627118644067797,0.4953789279112754,0.5841584158415841,0.3286384976525822,0.6107594936708861,0.5631399317406144,0.5820642978003384,0.48148148148148145,0.5782312925170068,0.5166051660516605,0.5426621160409556,0.5371024734982333,0.5464285714285714,0.5428109854604201,0.5918367346938775,0.5823627287853578,0.5251798561151079,0.4567901234567901,0.5405405405405406,0.5218978102189781
Body_wall_muscle,0.5092250922509225,0.5627118644067797,0.6375404530744336,0.562390158172232,0.61198738170347,0.3303964757709251,0.6848484848484848,0.6286644951140065,0.6203554119547657,0.5669014084507042,0.6136363636363636,0.5684210526315789,0.5863192182410424,0.6026936026936027,0.5816326530612245,0.615146831530139,0.6590909090909091,0.6359300476947536,0.5787671232876712,0.47470817120622566,0.6003430531732419,0.5729166666666666
Am/PH_sheath_cells,0.4949290060851927,0.4953789279112754,0.562390158172232,0.48846153846153845,0.5743589743589743,0.32592592592592595,0.5957446808510638,0.5486725663716814,0.5649122807017544,0.4932562620423892,0.5679012345679012,0.525911708253359,0.5097345132743363,0.5577981651376147,0.5454545454545454,0.5183946488294314,0.5855379188712522,0.5724137931034483,0.5457943925233645,0.4559139784946237,0.5168539325842697,0.5275142314990512
Non-seam_hypodermis,0.5340501792114696,0.5841584158415841,0.61198738170347,0.5743589743589743,0.6553846153846153,0.3404255319148936,0.6627218934911243,0.6063492063492063,0.6425196850393701,0.5513698630136986,0.6139240506329114,0.590443686006826,0.6063492063492063,0.6360655737704918,0.6158940397350994,0.6274509803921569,0.6234177215189873,0.6449612403100775,0.5966666666666667,0.5094339622641509,0.5976627712854758,0.6013513513513513
Germline,0.2962962962962963,0.3286384976525822,0.3303964757709251,0.32592592592592595,0.3404255319148936,0.25517241379310346,0.36693548387096775,0.3333333333333333,0.36043956043956044,0.30198019801980197,0.3230088495575221,0.33497536945812806,0.31555555555555553,0.3302325581395349,0.330188679245283,0.33954451345755693,0.37168141592920356,0.3956989247311828,0.34285714285714286,0.2914285714285714,0.3436754176610978,0.3300970873786408
Cholinergic_neurons,0.5753424657534246,0.6107594936708861,0.6848484848484848,0.5957446808510638,0.6627218934911243,0.36693548387096775,0.7207977207977208,0.6615853658536586,0.6717095310136157,0.6032786885245902,0.6899696048632219,0.6274509803921569,0.625,0.6446540880503144,0.638095238095238,0.6560232220609579,0.6960486322188449,0.6855439642324889,0.6357827476038339,0.5323741007194245,0.6432,0.6181229773462783
GABAergic_neurons,0.5092936802973977,0.5631399317406144,0.6286644951140065,0.5486725663716814,0.6063492063492063,0.3333333333333333,0.6615853658536586,0.6,0.608130081300813,0.5425531914893617,0.6241830065359477,0.5724381625441696,0.5606557377049181,0.5796610169491525,0.571917808219178,0.609642301710731,0.6339869281045751,0.6368,0.5862068965517241,0.4745098039215686,0.5664939550949913,0.5769230769230769
Pharyngeal_epithelia,0.5451197053406999,0.5820642978003384,0.6203554119547657,0.5649122807017544,0.6425196850393701,0.36043956043956044,0.6717095310136157,0.608130081300813,0.6612903225806451,0.5448154657293497,0.6256077795786061,0.5954465849387041,0.5951219512195122,0.6151260504201681,0.601018675721562,0.6049382716049383,0.6580226904376013,0.6412698412698413,0.5948717948717949,0.5203883495145631,0.6095890410958904,0.5996533795493935
Touch_receptor_neurons,0.47560975609756095,0.48148148148148145,0.5669014084507042,0.4932562620423892,0.5513698630136986,0.30198019801980197,0.6032786885245902,0.5425531914893617,0.5448154657293497,0.5135135135135135,0.5618374558303887,0.5269230769230769,0.48936170212765956,0.5257352941176471,0.5241635687732342,0.5460636515912898,0.5724381625441696,0.6010362694300518,0.5430711610486891,0.4224137931034483,0.5140712945590994,0.5057034220532319
Intestinal/rectal_muscle,0.5259259259259259,0.5782312925170068,0.6136363636363636,0.5679012345679012,0.6139240506329114,0.3230088495575221,0.6899696048632219,0.6241830065359477,0.6256077795786061,0.5618374558303887,0.6221498371335505,0.5845070422535211,0.5947712418300654,0.6216216216216216,0.5767918088737202,0.6294573643410852,0.6384364820846905,0.6443381180223285,0.5910652920962199,0.50390625,0.6024096385542169,0.5818815331010453
Canal_associated_neurons,0.5060728744939271,0.5166051660516605,0.5684210526315789,0.525911708253359,0.590443686006826,0.33497536945812806,0.6274509803921569,0.5724381625441696,0.5954465849387041,0.5269230769230769,0.5845070422535211,0.5478927203065134,0.5441696113074205,0.5714285714285714,0.562962962962963,0.5475792988313857,0.6056338028169014,0.6058519793459552,0.5634328358208955,0.49356223175965663,0.5570093457943925,0.5454545454545454
Intestine,0.483271375464684,0.5426621160409556,0.5863192182410424,0.5097345132743363,0.6063492063492063,0.31555555555555553,0.625,0.5606557377049181,0.5951219512195122,0.48936170212765956,0.5947712418300654,0.5441696113074205,0.5278688524590164,0.5627118644067797,0.5582191780821918,0.5443234836702955,0.6209150326797386,0.5824,0.5724137931034483,0.4627450980392157,0.5492227979274611,0.5384615384615384
Seam_cells,0.5405405405405406,0.5371024734982333,0.6026936026936027,0.5577981651376147,0.6360655737704918,0.3302325581395349,0.6446540880503144,0.5796610169491525,0.6151260504201681,0.5257352941176471,0.6216216216216216,0.5714285714285714,0.5627118644067797,0.5859649122807018,0.6063829787234043,0.5585874799357945,0.6081081081081081,0.628099173553719,0.6,0.5224489795918368,0.5652951699463328,0.5797101449275363
Rectum,0.50390625,0.5464285714285714,0.5816326530612245,0.5454545454545454,0.6158940397350994,0.330188679245283,0.638095238095238,0.571917808219178,0.601018675721562,0.5241635687732342,0.5767918088737202,0.562962962962963,0.5582191780821918,0.6063829787234043,0.5842293906810035,0.5737439222042139,0.5972696245733788,0.6043405676126878,0.5812274368231047,0.5,0.5605786618444847,0.5714285714285714
