,Excretory_cells,Somatic_gonad_precursors,Body_wall_muscle,Am/PH_sheath_cells,Non-seam_hypodermis,Germline,Cholinergic_neurons,GABAergic_neurons,Pharyngeal_epithelia,Touch_receptor_neurons,Intestinal/rectal_muscle,Canal_associated_neurons,Intestine,Seam_cells,Rectum,Other_interneurons,Pharyngeal_neurons,Ciliated_sensory_neurons,Oxygen_sensory_neurons,Pharyngeal_gland,Pharyngeal_muscle,Coelomocytes
Excretory_cells,0.16023921903867888,0.17512602725605758,0.533799897553263,0.13021109763031238,0.20107326142279855,0.06879647454924756,0.16023921903867888,0.11727629007102411,0.44207194094597546,0.31412396428326006,0.38226596463598217,0.2703493316640798,0.11469533241103202,0.17545114666179618,0.3281794398167511,0.16023921903867888,0.4373503277880834,0.07486847224086156,0.2510758476419348,0.2708757247418789,0.17121125181504687,0.42193411616390836
Somatic_gonad_precursors,0.17512602725605758,0.13173772078404505,0.6580711162541907,0.5502902444286303,0.024246610963712584,0.08394104418480937,0.23758404254094811,0.19917985772585575,0.5335772775662081,0.306976932076306,0.8919426262161462,0.35115229162710637,0.36046370917389103,0.055764156206519956,0.20335629621488355,0.3799160218273005,0.7703181576823243,0.046047116768076914,0.5215056523391913,0.3122927203751811,0.511801938396646,0.9312577070670182
Body_wall_muscle,0.533799897553263,0.6580711162541907,1.2076083105017457,0.6978856230437989,0.11855827805860684,0.16036485568724537,0.718739312944987,0.9239059533175248,0.7956086680807002,0.9266482976130989,1.4628107737563556,0.6392173101267199,1.0213630516155259,0.05843887976392922,0.2512694439015055,0.718739312944987,2.0969100130080562,0.2527436025578557,1.0670191780768024,0.791424291052425,0.5016205160488545,1.0277971616209356
Am/PH_sheath_cells,0.13021109763031238,0.5502902444286303,0.6978856230437989,0.17887967622317621,0.1723400020785269,0.12493873660829995,0.08236322416810933,0.15904748011117728,0.45271769203669676,0.2901790382900583,0.7521494330264664,0.2205839010529324,0.7757259857057421,0.08932224525729474,0.5666302531434141,0.08236322416810933,0.257117828562727,0.01723142274898808,0.20186750273538642,0.3031632694248364,0.08052965004925136,0.7717279978760005
Non-seam_hypodermis,0.20107326142279855,0.024246610963712584,0.11855827805860684,0.1723400020785269,0.05826501791188474,0.019110753227728254,0.05826501791188474,0.04373549730172455,0.26796830312580766,0.0782355145502743,0.114638779968488,0.024614151010532673,0.0296763735614967,0.1527976360190762,0.25523776293442196,0.08993616460501788,0.0748168749398738,0.004255148923669506,0.09533854208447552,0.12804780615811223,0.07009595737961662,0.27777753603026967
Germline,0.06879647454924756,0.08394104418480937,0.16036485568724537,0.12493873660829995,0.019110753227728254,0.07972010536705157,0.07972010536705157,0.019019996321927364,0.3393242116614759,0.04744970610179836,0.21577510456010449,0.10330847343711594,0.03876880295533691,0.018407882785918588,0.037606984796595896,0.07972010536705157,0.17855198098246972,0.08399373703635468,0.1150631028961398,0.08052965004925136,0.07972010536705157,0.29899359340445186
Cholinergic_neurons,0.16023921903867888,0.23758404254094811,0.718739312944987,0.08236322416810933,0.05826501791188474,0.07972010536705157,0.3010734272837887,0.37866789887919117,0.3005959181846626,0.5152020756681156,1.1968844451099732,0.30277065724028246,0.4728213811960356,0.05700040663395948,0.1252863112422208,0.3010734272837887,1.064492734175287,0.03599979794092253,0.5980827494824252,0.3031632694248364,0.4737253545742463,0.7717279978760005
GABAergic_neurons,0.11727629007102411,0.19917985772585575,0.9239059533175248,0.15904748011117728,0.04373549730172455,0.019019996321927364,0.37866789887919117,0.23548762514484278,0.48878529886361194,0.30133410825314194,1.148741651280925,0.3860525232196502,0.027797161620935564,0.021591207376960735,0.11739009144262927,0.23280701631753167,0.9806759628463092,0.07636746682295151,0.6371406970413197,0.1769172034671963,0.14155303918974704,0.4520407894128139
Pharyngeal_epithelia,0.44207194094597546,0.5335772775662081,0.7956086680807002,0.45271769203669676,0.26796830312580766,0.3393242116614759,0.3005959181846626,0.48878529886361194,0.5036931948886314,0.3488189375553122,1.0486624812040828,0.5398541825082498,0.7092977567121456,0.22603080959978217,0.3857357126412948,0.358823453386886,0.7555991661986298,0.3078583906332163,0.6214204238842252,0.5647131877598722,0.5070301946795108,1.3106911408763793
Touch_receptor_neurons,0.31412396428326006,0.306976932076306,0.9266482976130989,0.2901790382900583,0.0782355145502743,0.04744970610179836,0.5152020756681156,0.30133410825314194,0.3488189375553122,0.5100415205751653,1.4615519482897832,0.45717457304082,0.2882349375185686,0.008131820645956028,0.18223636771963225,0.5152020756681156,0.5427995872062317,0.20028046997412147,0.5774101601485179,0.3271635458286029,0.2866354793904461,0.5415132362017931
