,Am/PH_sheath_cells,Touch_receptor_neurons,Oxygen_sensory_neurons,GABAergic_neurons,Rectum,Canal_associated_neurons,Cholinergic_neurons,Excretory_cells,Seam_cells,Pharyngeal_neurons,Other_interneurons,Ciliated_sensory_neurons,Somatic_gonad_precursors,Germline,Non-seam_hypodermis,Coelomocytes,Pharyngeal_epithelia,Pharyngeal_gland,Intestine,Pharyngeal_muscle,Intestinal/rectal_muscle,Body_wall_muscle
Am/PH_sheath_cells,0.0,126.8008855410718,121.50647246546173,126.8753468684914,118.83743489742619,69.35869275008004,130.6675555943403,140.12954906442826,163.0911599964879,163.05095654119913,129.26160245796117,117.53445762413676,67.20631312607473,63.75844591111051,184.82572790063622,101.31787339359235,179.71380760531454,127.55387640522733,110.83938060996192,176.02670714695543,120.55563752475452,171.33464008483517
Touch_receptor_neurons,126.8008855410718,0.0,109.91626811805426,130.60734598406017,78.34630811340126,73.14868683715379,134.38946031218373,143.8529879738339,166.86211956882244,166.8012403221271,88.74186539621536,77.02435654388816,70.95587703636677,67.50108605792944,188.57172045139748,105.07293206625577,183.4637320507789,131.3225189828462,114.55331220004071,179.777398854806,80.03110098580424,175.09152508045614
Oxygen_sensory_neurons,121.50647246546173,109.91626811805426,0.0,125.42375127542634,101.95703390154114,67.86685025106149,129.22229689182902,138.6807286035086,161.59857335385115,161.57089436529097,112.44663141686372,100.78072796919064,65.75711553132483,62.305656677383695,183.33198628989982,99.85876086753736,178.23300718722112,126.0525763520921,109.38738322585475,174.54595207566405,103.75091203454552,169.85532092342592
GABAergic_neurons,126.8753468684914,130.60734598406017,125.42375127542634,0.0,122.6039031434155,67.081561281771,128.361416512128,137.8235144124543,160.80436019275098,160.75367798280698,133.1336572058321,121.41183379720447,70.0939866821684,66.86234549430645,182.5243403987534,99.0275658844546,177.4164278301195,125.26377817230326,111.0082884337922,173.7297465404241,124.47229735165975,169.04177692215615
Rectum,118.83743489742619,78.34630811340126,101.95703390154114,122.6039031434155,0.0,65.16761969720861,126.38605653314771,135.8516998127002,158.87886549821536,158.8166857039902,18.450234768153955,7.196049819171936,62.94861908731607,59.50459200767622,180.60974926343263,97.06501495389575,175.47939663960557,123.3577121585838,106.56741219059421,171.79259947390054,13.37470407149276,167.1001957090416
Canal_associated_neurons,69.35869275008004,73.14868683715379,67.86685025106149,67.081561281771,65.16761969720861,0.0,65.55319348437573,74.98717264972723,98.02008475817595,97.88728512937725,75.61458082936119,63.87150132101174,13.34068536470296,10.162538364011375,119.6057609356673,36.492237941787,114.53845188843789,62.494424799337104,53.51659105361621,110.85729531248721,66.93384855960397,106.21272741060744
Cholinergic_neurons,130.6675555943403,134.38946031218373,129.22229689182902,128.361416512128,126.38605653314771,65.55319348437573,0.0,131.99724212649295,155.08161777915527,155.00504906937712,136.9246256120498,125.21010582217396,73.86508606236103,70.63947517500398,176.8270853856954,93.22778819107533,171.66626317946114,119.59218809771818,114.79824233410547,167.97955791405096,128.26668294611818,163.28116150064588
Excretory_cells,140.12954906442826,143.8529879738339,138.6807286035086,137.8235144124543,135.8516998127002,74.98717264972723,131.99724212649295,0.0,144.4582296201916,30.959605956794725,146.38600206645444,134.67118197298186,83.32801421490853,80.10008445064213,160.59368476686745,72.15725799252628,47.587120022123635,20.543661820619953,124.25102132779433,43.908381124792115,137.72359367225357,141.208891579107
Seam_cells,163.0911599964879,166.86211956882244,161.59857335385115,160.80436019275098,158.87886549821536,98.02008475817595,155.08161777915527,144.4582296201916,0.0,167.38473451602448,169.3440831768267,157.60891764110303,106.4426442127402,103.18717031201118,189.14193648686162,105.6725520227462,184.04701794378522,131.88839127838355,147.1888599419127,180.36077816698395,160.6507815667263,175.67739393843476
Pharyngeal_neurons,163.05095654119913,166.8012403221271,161.57089436529097,160.75367798280698,158.8166857039902,97.88728512937725,155.00504906937712,30.959605956794725,167.38473451602448,0.0,169.30296668694263,157.58062801626346,106.3280027133022,103.07958271646234,183.5280518367696,95.17975131822944,57.60900517280264,42.32240774105367,147.1336215723653,53.941143091336144,160.6121990447799,164.09281673796693
