,score
arf-1.2 / pld-1,0.13
daf-7 / sma-6,0.34
srp-6 / F14B4.1,0.0
adm-2 / pat-3,0.03
adm-2 / pat-2,0.0
let-756 / sdn-1,0.0
let-756 / ver-3,0.0
let-756 / ver-1,0.94
srp-2 / F14B4.1,0.06
srp-1 / try-1,0.23
srp-1 / F14B4.1,0.12
svh-1 / svh-2,0.33
svh-1 / F11E6.8,0.12
cle-1 / gpn-1,0.15
cle-1 / pat-3,0.0
cle-1 / ina-1,0.0
cle-1 / pat-2,0.0
nlg-1 / nrx-1,0.0
apl-1 / mua-3,0.0
apl-1 / F14B4.1,0.03
efn-2 / vab-1,0.0
fbn-1 / let-4,0.0
C49C8.5 / clec-83,0.12
lin-44 / vang-1,0.0
lin-44 / mom-5,0.0
lin-44 / mig-1,0.95
let-2 / pat-3,0.54
efn-3 / vab-1,0.19
srp-7 / F14B4.1,0.13
cdh-4 / ptp-3,0.0
hsp-1 / mrp-6,0.0
hsp-1 / let-23,0.0
hsp-1 / lrp-1,0.0
hsp-1 / amph-1,0.04
hsp-1 / F14B4.1,0.2
col-99 / ddr-1,0.49
col-99 / ddr-2,0.0
mom-2 / vang-1,0.0
mom-2 / mom-5,0.57
egl-17 / igcm-4,0.0
slt-1 / vab-1,0.0
slt-1 / unc-5,0.0
slt-1 / unc-40,0.0
unc-6 / unc-40,0.0
unc-6 / C27B7.7,0.0
dpy-7 / let-4,0.0
nid-1 / ptp-3,0.49
efn-4 / vab-1,0.0
let-805 / mup-4,0.0
let-805 / mua-3,0.0
grd-11 / ptc-1,0.7
emb-9 / pat-3,0.01
emb-9 / ina-1,0.02
emb-9 / pat-2,0.0
epi-1 / pat-3,0.19
epi-1 / ina-1,0.13
epi-1 / pat-2,0.0
cwn-1 / lin-17,0.06
cwn-1 / vang-1,0.0
cwn-1 / mom-5,0.0
cwn-1 / mig-1,0.99
cwn-1 / lin-18,0.0
unc-10 / unc-29,0.01
vit-2 / rme-2,0.1
lam-3 / pat-3,0.05
lam-3 / pat-2,0.01
dbl-1 / gpn-1,0.0
dbl-1 / sma-6,0.0
dbl-1 / drag-1,0.0
dbl-1 / let-23,0.0
cwn-2 / lin-17,0.0
cwn-2 / mig-1,0.0
cwn-2 / vang-1,0.0
cwn-2 / mom-5,0.21
