,Excretory_cells,Somatic_gonad_precursors,Body_wall_muscle,Am/PH_sheath_cells,Non-seam_hypodermis,Germline,Cholinergic_neurons,GABAergic_neurons,Pharyngeal_epithelia,Touch_receptor_neurons,Intestinal/rectal_muscle,Canal_associated_neurons,Intestine,Seam_cells,Rectum,Other_interneurons,Pharyngeal_neurons,Ciliated_sensory_neurons,Oxygen_sensory_neurons,Pharyngeal_gland,Pharyngeal_muscle,Coelomocytes
Excretory_cells,0.2916666666666667,0.30238726790450926,0.33787465940054495,0.28213166144200624,0.2948717948717949,0.17266187050359713,0.37969094922737306,0.2774869109947644,0.3515850144092219,0.28888888888888886,0.32967032967032966,0.29310344827586204,0.25766871165644173,0.29508196721311475,0.3727810650887574,0.34536082474226804,0.3448275862068966,0.3125,0.32608695652173914,0.21602787456445993,0.28307692307692306,0.26
Somatic_gonad_precursors,0.30238726790450926,0.33014354066985646,0.35294117647058826,0.32222222222222224,0.23796033994334279,0.2006269592476489,0.44129554655870445,0.3073286052009456,0.36082474226804123,0.3092269326683292,0.3851851851851852,0.32390745501285345,0.2997275204359673,0.2774566473988439,0.34300791556728233,0.3916083916083916,0.3923444976076555,0.3157894736842105,0.35207823960880197,0.25,0.31693989071038253,0.28152492668621704
Body_wall_muscle,0.33787465940054495,0.35294117647058826,0.3768844221105528,0.32,0.24489795918367346,0.18122977346278318,0.4628099173553719,0.38256658595641646,0.35978835978835977,0.35294117647058826,0.36455696202531646,0.34300791556728233,0.31932773109243695,0.23214285714285715,0.3252032520325203,0.4009546539379475,0.43137254901960786,0.35327635327635326,0.40601503759398494,0.2830188679245283,0.3089887640449438,0.27794561933534745
Am/PH_sheath_cells,0.28213166144200624,0.32222222222222224,0.32,0.271523178807947,0.31186440677966104,0.1839080459770115,0.37155963302752293,0.273972602739726,0.32727272727272727,0.3032069970845481,0.3227665706051873,0.29607250755287007,0.2977346278317152,0.2847222222222222,0.3613707165109034,0.33423180592991913,0.3,0.31683168316831684,0.2905982905982906,0.21481481481481482,0.2727272727272727,0.26148409893992935
Non-seam_hypodermis,0.2948717948717949,0.23796033994334279,0.24489795918367346,0.31186440677966104,0.2986111111111111,0.15748031496062992,0.317016317016317,0.24581005586592178,0.3157894736842105,0.24404761904761904,0.24705882352941178,0.22839506172839505,0.23178807947019867,0.30604982206405695,0.3821656050955414,0.2802197802197802,0.28328611898017,0.25675675675675674,0.29651162790697677,0.19771863117870722,0.26578073089701,0.2246376811594203
Germline,0.17266187050359713,0.2006269592476489,0.18122977346278318,0.1839080459770115,0.15748031496062992,0.15454545454545454,0.2430379746835443,0.16049382716049382,0.22837370242214533,0.1390728476821192,0.19607843137254902,0.1724137931034483,0.16417910447761194,0.16194331983805668,0.20714285714285716,0.18787878787878787,0.219435736677116,0.24427480916030533,0.2129032258064516,0.13100436681222707,0.17228464419475656,0.1487603305785124
Cholinergic_neurons,0.37969094922737306,0.44129554655870445,0.4628099173553719,0.37155963302752293,0.317016317016317,0.2430379746835443,0.5578947368421052,0.44488977955911824,0.4267241379310345,0.4192872117400419,0.48232848232848236,0.4258064516129032,0.3792325056433409,0.3222748815165877,0.4,0.4871287128712871,0.4939271255060729,0.40274599542334094,0.4742268041237113,0.31683168316831684,0.38009049773755654,0.3261390887290168
GABAergic_neurons,0.2774869109947644,0.3073286052009456,0.38256658595641646,0.273972602739726,0.24581005586592178,0.16049382716049382,0.44488977955911824,0.3317757009345794,0.33587786259541985,0.3054187192118227,0.4,0.3197969543147208,0.25806451612903225,0.23931623931623933,0.3333333333333333,0.3640552995391705,0.3971631205673759,0.3224043715846995,0.38164251207729466,0.21021021021021022,0.2803234501347709,0.24277456647398843
Pharyngeal_epithelia,0.3515850144092219,0.36082474226804123,0.35978835978835977,0.32727272727272727,0.3157894736842105,0.22837370242214533,0.4267241379310345,0.33587786259541985,0.40782122905027934,0.31805929919137466,0.37333333333333335,0.34540389972144847,0.3323442136498516,0.2974683544303797,0.36103151862464183,0.38596491228070173,0.38144329896907214,0.37462235649546827,0.37467018469656993,0.28187919463087246,0.3273809523809524,0.3086816720257235
Touch_receptor_neurons,0.28888888888888886,0.3092269326683292,0.35294117647058826,0.3032069970845481,0.24404761904761904,0.1390728476821192,0.4192872117400419,0.3054187192118227,0.31805929919137466,0.3802083333333333,0.3711340206185567,0.3279569892473118,0.29714285714285715,0.2188449848024316,0.3149171270718232,0.3932038834951456,0.3491271820448878,0.3372093023255814,0.35714285714285715,0.21221864951768488,0.2979942693409742,0.25308641975308643
