,Excretory_cells,Somatic_gonad_precursors,Body_wall_muscle,Am/PH_sheath_cells,Non-seam_hypodermis,Germline,Cholinergic_neurons,GABAergic_neurons,Pharyngeal_epithelia,Touch_receptor_neurons,Intestinal/rectal_muscle,Canal_associated_neurons,Intestine,Seam_cells,Rectum,Other_interneurons,Pharyngeal_neurons,Ciliated_sensory_neurons,Oxygen_sensory_neurons,Pharyngeal_gland,Pharyngeal_muscle,Coelomocytes
Excretory_cells,0.04735283024105684,0.049294465226138826,0.12514145467108265,0.401100112936117,0.07052998382251052,0.04735283024105684,0.11793105556385161,0.035716793109684,0.31785492362616824,0.09993343062451421,0.3186230668001865,0.4614891026950123,0.023810560769543125,0.09552790091978551,0.09326102592405744,0.06318476880236705,0.08029446545087898,0.10361158815396276,0.18782222584124605,0.08055578953476307,0.0369681249461017,0.19337916951749473
Somatic_gonad_precursors,0.049294465226138826,0.08940227249536464,0.13849545911462527,0.2100669190682495,0.15885960938788568,0.027774012212230734,0.12056003400478296,0.028677754757187063,0.38992567785994525,0.0621312034361406,0.4294570601181025,0.24359212745104186,0.024867015344839642,0.06138021849731891,0.07316898970896799,0.011797899741219161,0.2575105354182249,0.08932224525729474,0.0947439512515487,0.07104115911917021,0.05107381370530062,0.19507722642700132
Body_wall_muscle,0.12514145467108265,0.13849545911462527,0.9004920062720349,0.8725712221484011,0.21556102577730923,0.35946887542791045,1.555955204081923,0.6654457293527509,1.2568823747852582,0.9011832829510585,1.0510982390297865,0.6969119894719464,0.2527436025578557,0.1641826457065271,0.17809362264767695,0.5322439487559671,1.7293211638552948,0.4869822746683818,0.8560488835760363,0.13065091924090705,0.3205266774705861,0.5519897269605238
Am/PH_sheath_cells,0.401100112936117,0.2100669190682495,0.8725712221484011,0.6017994927805721,1.0705810742857074,0.6017994927805721,0.6017994927805721,0.3825278560278074,1.419645338893408,0.36076260421796913,0.9655720949745967,1.3036436112666683,0.37695756575361844,0.5217943639881175,0.6150197043486956,0.6017994927805721,0.8961962790440431,0.4304505351112964,0.6044115364317564,0.3010734272837887,0.4101062241749673,0.8228965675634637
Non-seam_hypodermis,0.07052998382251052,0.15885960938788568,0.21556102577730923,1.0705810742857074,0.30146450743799885,0.12551818230053352,0.1813123365584863,0.12650501774383102,0.8315025164769674,0.16704424939540152,0.4363409615271302,0.8858896434681085,0.08460016478773018,0.3111354319452081,0.11067027939865703,0.03862637240519885,0.3843129180651688,0.039053804266168564,0.21059557948885918,0.12147820449879346,0.14822203224491762,0.4337982811450871
Germline,0.04735283024105684,0.027774012212230734,0.35946887542791045,0.6017994927805721,0.12551818230053352,0.3010734272837887,0.6017994927805721,0.1243889783713144,0.9086848403027769,0.14730657136230038,0.905354210394045,0.5183424274290147,0.09068471791396135,0.30124719720984544,0.19876784616970822,0.12508352556843524,0.8961962790440431,0.42974902280600813,0.4995576821425101,0.12508352556843524,0.20957408260888935,0.9935339577507681
Cholinergic_neurons,0.11793105556385161,0.12056003400478296,1.555955204081923,0.6017994927805721,0.1813123365584863,0.6017994927805721,0.6017994927805721,0.4659104052394316,0.7575828155822811,0.39864631123150973,0.9765417623563247,1.3036436112666683,0.20666369732784684,0.17577650963918318,0.1473675420884855,0.3010734272837887,0.8961962790440431,0.42544789133609545,0.3848393356834436,0.12508352556843524,0.3001189335327579,0.703334809738469
GABAergic_neurons,0.035716793109684,0.028677754757187063,0.6654457293527509,0.3825278560278074,0.12650501774383102,0.1243889783713144,0.4659104052394316,0.05886140569031566,0.6350739662100244,0.2513081735115462,1.0907114758377496,0.8855558275547455,0.009306039320248418,0.010527934210463073,0.06045578864559672,0.23251018966307005,0.5934598195660449,0.231250934782467,0.3481407307530511,0.039030047012154095,0.1447231961699082,0.29272797145197976
Pharyngeal_epithelia,0.31785492362616824,0.38992567785994525,1.2568823747852582,1.419645338893408,0.8315025164769674,0.9086848403027769,0.7575828155822811,0.6350739662100244,0.893809102736585,0.6483969275808711,1.750801642608886,1.8728952016351899,0.31618776425870526,0.3554137164372494,0.657676033687118,0.47566879971134796,1.0577438495805356,0.5763446074266215,0.6660491956127528,0.26252905258730685,0.5236031732746699,1.0096611452123985
Touch_receptor_neurons,0.09993343062451421,0.0621312034361406,0.9011832829510585,0.36076260421796913,0.16704424939540152,0.14730657136230038,0.39864631123150973,0.2513081735115462,0.6483969275808711,0.3002056190583757,1.0225050309269632,0.9858996784803796,0.06180561717685331,0.02218497391681331,0.24875939900723248,0.3904589471827226,0.47320856798117894,0.3670368318327389,0.44538971477383593,0.029025849420539224,0.1330926829634033,0.3458716087381876
