,Am/PH_sheath_cells,Touch_receptor_neurons,Oxygen_sensory_neurons,GABAergic_neurons,Rectum,Canal_associated_neurons,Cholinergic_neurons,Excretory_cells,Seam_cells,Pharyngeal_neurons,Other_interneurons,Ciliated_sensory_neurons,Somatic_gonad_precursors,Germline,Non-seam_hypodermis,Coelomocytes,Pharyngeal_epithelia,Pharyngeal_gland,Intestine,Pharyngeal_muscle,Intestinal/rectal_muscle,Body_wall_muscle
Am/PH_sheath_cells,0.0,67.986959005712,62.28686579156936,60.371839084575946,76.9008643477201,57.489292335161416,57.900913200888745,57.28552279737739,63.369368237325006,67.04282409976662,77.96717181519689,78.02368712318486,59.282682988244865,59.28046455555316,74.61928977838268,51.80229995167341,72.34900999957932,45.61631589021916,56.663381272633934,72.1615374044742,75.81189176042218,62.7463132202911
Touch_receptor_neurons,67.986959005712,0.0,54.705594643024774,60.94471237006995,42.81042367195908,43.04273936519571,58.30834136319524,97.30283625803536,64.39454270431,107.22644613943416,43.197931965844305,42.83465149608997,43.11339905547764,43.00806214866526,83.12906758285006,52.231562864921074,111.25428306402519,84.42971776501435,51.798768740479126,112.30107019661223,42.849651508052595,74.85737748380556
Oxygen_sensory_neurons,62.28686579156936,54.705594643024774,0.0,59.63893506390035,52.19438518897444,52.09194112737242,58.010223878348036,82.97818100588675,64.25419931362157,92.95900807830806,53.222398755931394,52.34310029695911,52.09473683559391,52.0598179051096,80.02494681602427,52.446962183247095,97.01368341341458,70.22118312544897,53.225328389313674,98.02297343322253,52.2086380058164,70.70667144393987
GABAergic_neurons,60.371839084575946,60.94471237006995,59.63893506390035,0.0,62.85147162931045,49.73325586701909,54.8199776059954,67.91367631451618,61.62728582386494,78.67190295676457,64.28213935039727,64.41854422189859,49.85801167829253,49.86448648887503,76.17506632246305,49.977939540586505,84.18334102822352,57.84585339894289,52.74675574493087,83.71398050023738,61.70212299190362,64.81016636479251
Rectum,76.9008643477201,42.81042367195908,52.19438518897444,62.85147162931045,0.0,58.41657400730185,66.21527583506445,127.43677813075533,74.14060468671246,137.47773449486596,6.379857929285415,4.339115679268393,53.0804317953197,52.95786181841906,94.73225882206023,76.21133815369298,141.50833074286263,114.65832238183467,61.231336326418045,142.55413102792133,7.213566149453149,92.16628601973873
Canal_associated_neurons,57.489292335161416,43.04273936519571,52.09194112737242,49.73325586701909,58.41657400730185,0.0,37.93522374914769,69.20635358751659,45.816147768252726,79.20583472408268,59.98797300486218,61.66492930200863,7.742307316530848,6.6272111413646755,67.03585541651181,19.379461113121756,83.23577651354793,56.41234756362402,30.056461114036058,84.27643874435718,55.08745604786782,51.33329313029045
Cholinergic_neurons,57.900913200888745,58.30834136319524,58.010223878348036,54.8199776059954,66.21527583506445,37.93522374914769,0.0,61.75053202816433,55.28066153642824,72.54529112019891,67.85879049676596,69.15769065027756,38.27771349470731,38.09827528458792,71.38999169056352,38.97772883797922,77.74358270456564,51.64151161257695,44.612523922295125,77.58899938083114,63.6934079006159,57.74408784109903
Excretory_cells,57.28552279737739,97.30283625803536,82.97818100588675,67.91367631451618,127.43677813075533,69.20635358751659,61.75053202816433,0.0,63.84849931845157,17.697476640312473,128.98159623282586,130.67664693687001,74.40788238189253,74.50730328315498,65.021664889497,51.31866458570684,28.86060689825618,13.83145990812493,66.46182065405164,22.757191988863823,124.06991610458645,49.33893032800326
Seam_cells,63.369368237325006,64.39454270431,64.25419931362157,61.62728582386494,74.14060468671246,45.816147768252726,55.28066153642824,63.84849931845157,0.0,71.15718713877025,75.44513997481927,76.73447335055718,46.81331082626319,46.756614295366525,73.36356409127666,46.01635828798398,76.45465331824772,56.318433399873754,51.570481924459365,75.71904199692852,71.49352095398675,61.17222603213528
Pharyngeal_neurons,67.04282409976662,107.22644613943416,92.95900807830806,78.67190295676457,137.47773449486596,79.20583472408268,72.54529112019891,17.697476640312473,71.15718713877025,0.0,139.04529715765517,140.72946619581222,84.54067397152055,84.61335916326138,67.95861541852896,61.54112398506955,26.684744148593175,23.83952263163224,76.42200557553552,20.41283273646475,134.13492027446893,55.065148416583135
Other_interneurons,77.96717181519689,43.197931965844305,53.222398755931394,64.28213935039727,6.379857929285415,59.98797300486218,67.85879049676596,128.98159623282586,75.44513997481927,139.04529715765517,0.0,6.229971780991924,54.615910635138235,54.502364646036995,95.87738999073206,77.74863147802978,143.0770063184128,116.22842160740925,62.83932016131538,144.12116214623907,8.688007577059128,93.71506042485208
Ciliated_sensory_neurons,78.02368712318486,42.83465149608997,52.34310029695911,64.41854422189859,4.339115679268393,61.66492930200863,69.15769065027756,130.67664693687001,76.73447335055718,140.72946619581222,6.229971780991924,0.0,56.3125798671941,56.19538406839756,96.80093027076916,79.4451333392907,144.76071536033214,117.91103895728631,64.47063512719039,145.8057998092792,8.69325172141031,95.14987143564558
Somatic_gonad_precursors,59.282682988244865,43.11339905547764,52.09473683559391,49.85801167829253,53.0804317953197,7.742307316530848,38.27771349470731,74.40788238189253,46.81331082626319,84.54067397152055,54.615910635138235,56.3125798671941,0.0,5.390318719285922,68.9053861673426,23.571259303366663,88.57665973075396,61.75206224622036,31.063383864103344,89.60820119201361,49.712319507003016,53.978639782503485
Germline,59.28046455555316,43.00806214866526,52.0598179051096,49.86448648887503,52.95786181841906,6.6272111413646755,38.09827528458792,74.50730328315498,46.756614295366525,84.61335916326138,54.502364646036995,56.19538406839756,5.390318719285922,0.0,68.7633001010195,23.433273818981654,88.64773641831576,61.817188728717646,30.850849823078022,89.68296525738643,49.596673660933206,53.88915114117919
Non-seam_hypodermis,74.61928977838268,83.12906758285006,80.02494681602427,76.17506632246305,94.73225882206023,67.03585541651181,71.38999169056352,65.021664889497,73.36356409127666,67.95861541852896,95.87738999073206,96.80093027076916,68.9053861673426,68.7633001010195,0.0,63.67039915759839,71.77830698433625,62.29472525166921,69.85040571544089,70.57305635963303,92.86443006960023,70.43963203922436
