Ligand,Receptor,score
WBGene00001613,WBGene00003774,1.0
WBGene00001613,WBGene00006779,1.0
WBGene00001613,WBGene00003775,1.0
WBGene00000182,WBGene00004040,1.0
WBGene00000182,WBGene00006780,1.0
WBGene00000903,WBGene00004860,1.0
WBGene00005647,WBGene00008779,1.0
WBGene00000074,WBGene00003930,1.0
WBGene00000074,WBGene00003929,1.0
WBGene00002881,WBGene00004749,1.0
WBGene00002881,WBGene00016848,1.0
WBGene00002881,WBGene00006896,1.0
WBGene00002881,WBGene00004214,1.0
WBGene00002881,WBGene00006894,1.0
WBGene00002881,WBGene00017103,1.0
WBGene00000239,WBGene00006765,1.0
WBGene00005643,WBGene00008779,1.0
WBGene00005642,WBGene00006619,1.0
WBGene00005642,WBGene00008779,1.0
WBGene00001612,WBGene00003233,1.0
WBGene00001612,WBGene00006779,1.0
WBGene00001612,WBGene00003775,1.0
WBGene00001612,WBGene00003774,1.0
WBGene00006620,WBGene00020504,1.0
WBGene00006620,WBGene00008779,1.0
WBGene00006620,WBGene00008711,1.0
WBGene00006620,WBGene00020649,1.0
WBGene00000223,WBGene00022454,1.0
WBGene00000223,WBGene00006612,1.0
WBGene00000285,WBGene00006779,1.0
WBGene00000285,WBGene00013869,1.0
WBGene00000285,WBGene00011433,1.0
WBGene00002007,WBGene00004768,1.0
WBGene00001985,WBGene00003001,1.0
WBGene00000286,WBGene00006779,1.0
WBGene00000286,WBGene00013869,1.0
WBGene00000286,WBGene00011433,1.0
WBGene00004732,WBGene00011345,1.0
WBGene00004732,WBGene00006780,1.0
WBGene00001648,WBGene00006525,1.0
WBGene00003850,WBGene00006525,1.0
WBGene00000527,WBGene00016283,1.0
WBGene00000527,WBGene00001687,1.0
WBGene00000527,WBGene00003930,1.0
WBGene00000527,WBGene00002081,1.0
WBGene00000527,WBGene00003929,1.0
WBGene00006412,WBGene00007799,1.0
WBGene00000039,WBGene00006765,1.0
WBGene00000149,WBGene00003497,1.0
WBGene00000149,WBGene00003482,1.0
WBGene00000149,WBGene00008779,1.0
WBGene00001163,WBGene00006868,1.0
WBGene00003893,WBGene00004749,1.0
WBGene00004310,WBGene00006779,1.0
WBGene00002282,WBGene00022816,1.0
WBGene00000915,WBGene00016283,1.0
WBGene00000915,WBGene00002299,1.0
WBGene00000583,WBGene00016283,1.0
WBGene00016769,WBGene00021879,1.0
WBGene00001599,WBGene00020652,1.0
WBGene00001599,WBGene00020035,1.0
WBGene00003029,WBGene00015171,1.0
WBGene00003029,WBGene00003397,1.0
WBGene00003029,WBGene00003238,1.0
WBGene00003029,WBGene00022242,1.0
WBGene00002280,WBGene00003930,1.0
WBGene00003774,WBGene00006779,1.0
WBGene00003774,WBGene00003775,1.0
WBGene00006923,WBGene00020504,1.0
WBGene00000704,WBGene00020646,1.0
WBGene00002232,WBGene00004732,1.0
WBGene00002232,WBGene00011345,1.0
WBGene00006845,WBGene00016283,1.0
WBGene00001679,WBGene00004780,1.0
WBGene00001679,WBGene00004779,1.0
WBGene00001679,WBGene00008890,1.0
WBGene00001679,WBGene00004778,1.0
WBGene00001679,WBGene00002150,1.0
WBGene00001679,WBGene00020506,1.0
WBGene00001679,WBGene00011878,1.0
WBGene00001679,WBGene00002149,1.0
WBGene00001679,WBGene00021897,1.0
WBGene00001679,WBGene00006411,1.0
WBGene00008779,WBGene00013578,1.0
WBGene00008779,WBGene00013039,1.0
WBGene00008779,WBGene00015389,1.0
WBGene00008779,WBGene00020649,1.0
WBGene00008779,WBGene00011076,1.0
WBGene00001164,WBGene00006868,1.0
WBGene00001675,WBGene00006525,1.0
WBGene00005648,WBGene00008779,1.0
WBGene00006727,WBGene00020649,1.0
WBGene00006727,WBGene00020504,1.0
WBGene00006727,WBGene00012137,1.0
WBGene00006727,WBGene00010272,1.0
WBGene00006727,WBGene00008711,1.0
WBGene00006727,WBGene00022454,1.0
WBGene00006727,WBGene00009164,1.0
WBGene00006727,WBGene00016761,1.0
WBGene00000396,WBGene00004215,1.0
WBGene00002005,WBGene00003412,1.0
WBGene00002005,WBGene00002299,1.0
WBGene00002005,WBGene00003071,1.0
WBGene00002005,WBGene00010272,1.0
WBGene00002005,WBGene00008779,1.0
WBGene00000674,WBGene00016104,1.0
WBGene00000674,WBGene00017381,1.0
WBGene00003071,WBGene00008542,1.0
WBGene00003071,WBGene00013578,1.0
WBGene00003071,WBGene00013039,1.0
WBGene00003071,WBGene00008692,1.0
WBGene00003071,WBGene00011076,1.0
WBGene00003071,WBGene00015389,1.0
WBGene00001664,WBGene00006525,1.0
WBGene00003395,WBGene00020652,1.0
WBGene00003395,WBGene00015171,1.0
WBGene00003395,WBGene00003397,1.0
WBGene00003395,WBGene00020035,1.0
WBGene00003395,WBGene00022242,1.0
