"g#","initial_alias","initial_ensg","o#","ortholog_name","ortholog_ensg","description"
"1","LRP1","ENSG00000123384","1.1.1","N/A","N/A","N/A"
"2","MTNR1A","ENSG00000168412","2.1.1","N/A","N/A","N/A"
"3","MTNR1B","ENSG00000134640","3.1.1","N/A","N/A","N/A"
"4","AGTR2","ENSG00000180772","4.1.1","N/A","N/A","N/A"
"5","BDKRB2","ENSG00000168398","5.1.1","N/A","N/A","N/A"
"6","AXL","ENSG00000167601","6.1.1","N/A","N/A","N/A"
"7","EPHA3","ENSG00000044524","7.1.1","N/A","N/A","N/A"
"8","ITGA9","ENSG00000144668","8.1.1","pat-2","WBGene00003929","Integrin alpha pat-2  [Source:UniProtKB/Swiss-Prot;Acc:P34446]"
"9","ITGB1","ENSG00000150093","9.1.1","pat-3","WBGene00003930","Integrin beta pat-3  [Source:UniProtKB/Swiss-Prot;Acc:Q27874]"
"10","SDC4","ENSG00000124145","10.1.1","sdn-1","WBGene00004749","Probable syndecan  [Source:UniProtKB/Swiss-Prot;Acc:P50605]"
"11","ITGA5","ENSG00000161638","11.1.1","pat-2","WBGene00003929","Integrin alpha pat-2  [Source:UniProtKB/Swiss-Prot;Acc:P34446]"
"12","ITGAV","ENSG00000138448","12.1.1","ina-1","WBGene00002081","Integrin alpha ina-1  [Source:UniProtKB/Swiss-Prot;Acc:Q03600]"
"12","ITGAV","ENSG00000138448","12.1.2","pat-2","WBGene00003929","Integrin alpha pat-2  [Source:UniProtKB/Swiss-Prot;Acc:P34446]"
"13","ITGB3","ENSG00000259207","13.1.1","N/A","N/A","N/A"
"14","ERBB4","ENSG00000178568","14.1.1","N/A","N/A","N/A"
"15","NOTCH1","ENSG00000148400","15.1.1","N/A","N/A","N/A"
"16","ITGA4","ENSG00000115232","16.1.1","pat-2","WBGene00003929","Integrin alpha pat-2  [Source:UniProtKB/Swiss-Prot;Acc:P34446]"
"17","CD9","ENSG00000010278","17.1.1","N/A","N/A","N/A"
"18","ITGA6","ENSG00000091409","18.1.1","pat-2","WBGene00003929","Integrin alpha pat-2  [Source:UniProtKB/Swiss-Prot;Acc:P34446]"
"19","ITGB7","ENSG00000139626","19.1.1","pat-3","WBGene00003930","Integrin beta pat-3  [Source:UniProtKB/Swiss-Prot;Acc:Q27874]"
"20","ITGA3","ENSG00000005884","20.1.1","ina-1","WBGene00002081","Integrin alpha ina-1  [Source:UniProtKB/Swiss-Prot;Acc:Q03600]"
"20","ITGA3","ENSG00000005884","20.1.2","pat-2","WBGene00003929","Integrin alpha pat-2  [Source:UniProtKB/Swiss-Prot;Acc:P34446]"
"21","ITGB5","ENSG00000082781","21.1.1","N/A","N/A","N/A"
"22","ADCYAP1R1","ENSG00000078549","22.1.1","N/A","N/A","N/A"
"23","SCTR","ENSG00000080293","23.1.1","N/A","N/A","N/A"
"24","VIPR1","ENSG00000114812","24.1.1","N/A","N/A","N/A"
"25","VIPR2","ENSG00000106018","25.1.1","N/A","N/A","N/A"
"26","ADIPOR1","ENSG00000159346","26.1.1","paqr-1","WBGene00016610","Progestin and adipoQ receptor-like protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q94177]"
"26","ADIPOR1","ENSG00000159346","26.1.2","K11C4.2","WBGene00019643",""
"27","ADIPOR2","ENSG00000006831","27.1.1","N/A","N/A","N/A"
"28","CALCR","ENSG00000004948","28.1.1","N/A","N/A","N/A"
"29","CALCRL","ENSG00000064989","29.1.1","N/A","N/A","N/A"
"30","RAMP1","ENSG00000132329","30.1.1","N/A","N/A","N/A"
"31","GPR182","ENSG00000166856","31.1.1","N/A","N/A","N/A"
"32","MRGPRX2","ENSG00000183695","32.1.1","N/A","N/A","N/A"
"33","RAMP2","ENSG00000131477","33.1.1","N/A","N/A","N/A"
"34","ATP1A3","ENSG00000105409","34.1.1","eat-6","WBGene00001137","Sodium/potassium-transporting ATPase subunit alpha  [Source:UniProtKB/TrEMBL;Acc:P90735]"
"35","LRP4","ENSG00000134569","35.1.1","N/A","N/A","N/A"
"36","MUSK","ENSG00000030304","36.1.1","N/A","N/A","N/A"
"37","MC3R","ENSG00000124089","37.1.1","N/A","N/A","N/A"
"38","MC4R","ENSG00000166603","38.1.1","N/A","N/A","N/A"
"39","MC5R","ENSG00000176136","39.1.1","N/A","N/A","N/A"
"40","SDC3","ENSG00000162512","40.1.1","sdn-1","WBGene00004749","Probable syndecan  [Source:UniProtKB/Swiss-Prot;Acc:P50605]"
"41","AGTR1","ENSG00000144891","41.1.1","N/A","N/A","N/A"
"42","LRP2","ENSG00000081479","42.1.1","N/A","N/A","N/A"
"43","MAS1","ENSG00000130368","43.1.1","N/A","N/A","N/A"
"44","INSR","ENSG00000171105","44.1.1","N/A","N/A","N/A"
"45","ALOX5","ENSG00000012779","45.1.1","N/A","N/A","N/A"
"46","LAMP1","ENSG00000185896","46.1.1","lmp-2","WBGene00015471","LAMP (Lysosome-associated membrane protein) homolog  [Source:UniProtKB/TrEMBL;Acc:Q9GYK0]"
"47","ACVR1","ENSG00000115170","47.1.1","daf-1","WBGene00000897","Cell surface receptor daf-1  [Source:UniProtKB/Swiss-Prot;Acc:P20792]"
"47","ACVR1","ENSG00000115170","47.1.2","daf-4","WBGene00000900","Cell surface receptor daf-4  [Source:UniProtKB/Swiss-Prot;Acc:P50488]"
"47","ACVR1","ENSG00000115170","47.1.3","sma-6","WBGene00004860","Serine/threonine-protein kinase sma-6  [Source:UniProtKB/Swiss-Prot;Acc:Q09488]"
"48","AMHR2","ENSG00000135409","48.1.1","daf-1","WBGene00000897","Cell surface receptor daf-1  [Source:UniProtKB/Swiss-Prot;Acc:P20792]"
"48","AMHR2","ENSG00000135409","48.1.2","daf-4","WBGene00000900","Cell surface receptor daf-4  [Source:UniProtKB/Swiss-Prot;Acc:P50488]"
"48","AMHR2","ENSG00000135409","48.1.3","sma-6","WBGene00004860","Serine/threonine-protein kinase sma-6  [Source:UniProtKB/Swiss-Prot;Acc:Q09488]"
"49","EGFR","ENSG00000146648","49.1.1","N/A","N/A","N/A"
"50","TEK","ENSG00000120156","50.1.1","N/A","N/A","N/A"
"51","TIE1","ENSG00000066056","51.1.1","N/A","N/A","N/A"
"52","DYSF","ENSG00000135636","52.1.1","N/A","N/A","N/A"
"53","FPR1","ENSG00000171051","53.1.1","N/A","N/A","N/A"
"54","FPR2","ENSG00000171049","54.1.1","N/A","N/A","N/A"
"55","FPR3","ENSG00000187474","55.1.1","N/A","N/A","N/A"
"56","APLNR","ENSG00000134817","56.1.1","N/A","N/A","N/A"
"57","ITGAM","ENSG00000169896","57.1.1","ina-1","WBGene00002081","Integrin alpha ina-1  [Source:UniProtKB/Swiss-Prot;Acc:Q03600]"
"57","ITGAM","ENSG00000169896","57.1.2","pat-2","WBGene00003929","Integrin alpha pat-2  [Source:UniProtKB/Swiss-Prot;Acc:P34446]"
"58","ITGB2","ENSG00000160255","58.1.1","pat-3","WBGene00003930","Integrin beta pat-3  [Source:UniProtKB/Swiss-Prot;Acc:Q27874]"
"59","LDLR","ENSG00000130164","59.1.1","N/A","N/A","N/A"
"60","LRP6","ENSG00000070018","60.1.1","N/A","N/A","N/A"
"61","LRP8","ENSG00000157193","61.1.1","N/A","N/A","N/A"
"62","LSR","ENSG00000105699","62.1.1","N/A","N/A","N/A"
"63","OLR1","ENSG00000173391","63.1.1","clec-196","WBGene00009156","C-type LECtin  [Source:UniProtKB/TrEMBL;Acc:F5GUE2]"
"63","OLR1","ENSG00000173391","63.1.2","clec-146","WBGene00013008","C-type LECtin  [Source:UniProtKB/TrEMBL;Acc:O18202]"
"64","SDC2","ENSG00000169439","64.1.1","sdn-1","WBGene00004749","Probable syndecan  [Source:UniProtKB/Swiss-Prot;Acc:P50605]"
